x,y,z
-9.69,24.95,62.99
-9.4,25.2,62.87
-9.58,25.08,62.91
-9.82,24.57,63.3
-9.71,24.68,63.24
-9.69,25.2,62.75
-9.69,24.95,62.99
-9.4,25.2,62.87
-9.58,25.08,62.91
-10.04,25.57,62.26
-10.51,24.93,62.66
-11.17,25.83,61.52
-10.22,25.04,62.68
-11.78,24.28,62.67
-11.91,24.72,62.2
-14.33,27.12,58.76
-16.05,26.47,58.36
-17.2,25.6,58.43
-17.33,24.74,59.09
-17.93,25.28,58.23
-20.18,25.47,56.55
-21.59,24.23,56.55
-23.38,25.23,54.38
-23.1,24.37,55.29
-24.75,24.51,53.89
-27.54,26.83,49.75
-28.73,24.63,50.49
-29.52,24.97,49.55
-31.01,25.68,47.69
-32.11,25.21,47.06
-33.04,26.87,44.92
-34.47,27.5,43.08
-35.95,27.12,41.99
-36.74,27.43,40.97
-40.62,25.49,38.7
-44.77,25.51,34.35
-44.28,27.32,33.33
-45.75,28.33,30.77
-43.41,32.36,29.41
-44.37,28.58,32.08
-44.93,29.37,30.7
-44.01,29.68,31.44
-40.95,30.89,33.63
-40.42,28.05,36.78
-41.49,27.04,36.53
-40.41,28.13,36.72
-34.87,28.4,41.95
-27.62,26.42,50.01
-34.23,28.27,42.66
-30.13,27.63,46.89
-24.97,24.06,54.07
-28.26,26.3,49.58
-25.73,27.18,50.94
-20.94,24.65,56.68
-21.66,26.4,54.7
-20.1,26.96,55.33
-17.52,25.12,58.64
-17.08,24.93,59.09
-17.01,25.28,58.83
-15.14,24.9,60.3
-14.94,25.6,59.79
-16.77,22.88,61.05
-14.98,24.47,60.77
-14.3,25.79,59.98
-15,24.1,61.09
-14.92,23.07,62.04
-15.33,19.94,64.44
-14.36,19.23,65.65
-15.06,18.11,66.1
-15.54,15.8,67.54
-13.82,14.21,69.97
-17.09,13.48,67.97
-19.34,11.83,67.08
-17.59,10.7,69.23
-12.82,9.17,74.15
-14.18,6.76,74.23
-17.28,3.3,72.38
-18.28,3.87,71.29
-17.34,5.6,71.72
-12.66,7.27,75.34
-11.67,6.39,76.65
-14.72,5.28,74.32
-18.77,2.42,71.06
-14.92,4.16,74.48
-14.17,7.19,74.05
-17.07,6.54,71.65
-15.46,6.32,73.23
-14.74,7.58,73.35
-17.52,8.53,70.39
-13.45,10.52,72.8
-13.77,11.39,71.98
-12.86,14.29,70.58
-13.51,14.68,69.84
-12.45,17.79,68.04
-13,18.39,67.2
-12.82,19.86,66.06
-9.42,22.52,65.39
-12.57,22.32,64.04
-10.45,26.75,60.97
-11.91,26.18,60.85
-12.43,27.4,59.46
-14.4,24.92,60.71
-11.8,28.64,58.59
-10.08,29.69,58.31
-11.19,28.54,58.96
-12.14,28.31,58.75
-12.2,27.95,59.06
-10.88,28.05,59.55
-10.14,27.93,59.98
-9.61,29.8,58.38
-7.7,28.47,60.32
-6.5,28.77,60.37
-6.02,29.61,59.66
-3.04,29.54,60.27
-0.54,31.81,58.18
-0.09,30.89,59.11
0.76,31.57,58.41
3.47,34.02,55.75
8.9,34.14,54.4
6.41,34.69,54.56
8.06,33.88,54.91
15.6,38.76,47.05
10.76,40.01,47.97
14.16,41.07,45.49
17.08,40.6,44.44
16.36,39.74,45.68
19.13,44.41,39.41
21.75,41.47,40.64
23.16,44.62,36.38
22.62,46.43,34.89
23.89,43.9,36.58
23.84,45.14,35.32
22.46,46.78,34.63
22.3,43.7,37.98
21.88,43.18,38.82
18.23,41.74,42.64
19.35,41.85,41.85
14.42,40.35,46.08
13.89,39.92,46.75
12.21,37.89,49.5
9.4,36.19,52.22
9.55,35.61,52.74
9.08,35.05,53.45
7.52,34.41,54.55
4.62,33.11,56.48
4.83,33.56,56
2.94,33.8,56.04
2.35,33.92,55.98
1.29,32.46,57.51
0.67,31.38,58.61
-2.9,31.75,58.09
-4.97,28.52,60.97
-3.19,30.25,59.55
-5.09,28.77,60.69
-8.47,27.71,60.81
-5.56,28.92,60.45
-5.87,29.79,59.52
-8.29,27.83,60.75
-8.27,27.59,60.99
-7.28,27.88,61.02
-7.51,27.84,60.99
-8.04,28.56,60.12
-8.35,28.16,60.41
-8.29,28.87,59.74
-9.56,28.54,59.61
-8.5,29.17,59.38
-9.19,27.98,60.29
-9.55,28.1,60.04
-7.25,30.28,58.68
-8.59,32.8,55.81
-9.98,28.57,59.43
-7.2,31.83,57.18
-7.95,37.58,51.29
-11.6,31.09,56.35
-7.58,38.48,50.5
-8.83,41.41,47.24
-8.47,39.17,49.56
-9.92,44.3,44
-7.09,43.78,45.35
-7.57,48.07,40.93
-8,50.63,38.24
-7.82,50.99,37.92
-8.27,53.46,35.29
-7.51,57.02,31.9
-9.07,57.84,30.55
-9.76,60.97,27.04
-8.98,63.01,25.22
-8.6,64.23,24.09
-10.52,62.71,24.87
-8.24,65.93,22.45
-7.3,66.15,22.58
-6.21,65.79,23.3
-8.86,64.79,23.4
-5.65,61.13,28.21
-6.24,64.99,24.11
-11.21,54.97,32.69
-2.57,57.43,32.44
-11.36,52.65,35.02
